1:48:10.9,16:57:20
1:50:52.0,11:2:36
2:2:35.2,13:28:36
2:13:3.3,15:16:47
2:24:49.0,10:36:38
2:36:37.9,12:26:51
2:44:32.9,15:18:42
2:44:57.6,12:26:45
2:51:29.6,15:4:55
3:0:44.1,10:52:13
3:6:23.7,13:11:14
3:10:38.9,11:52:21
5:6:40.6,51:35:52
5:36:35.2,54:25:44
5:54:50.8,55:42:25
5:59:31.6,54:17:5
6:21:46.1,53:27:8
4:51:9.3,48:44:27
4:52:47.8,42:35:12
5:0:18.3,39:23:41
5:1:58.1,43:49:24
5:2:28.7,41:4:33
5:6:30.9,41:14:4
5:10:42.9,46:57:44
5:16:41.4,45:59:53
5:18:15.9,42:47:32
5:19:8.5,40:5:57
5:20:14.8,41:5:10
5:21:48.4,41:48:16
5:22:50.3,41:1:46
5:45:54.0,49:49:35
5:49:10.5,39:10:52
5:51:29.4,39:8:55
5:59:21.8,49:55:28
5:59:31.7,44:56:51
5:59:56.1,45:56:13
6:0:58.6,47:54:7
6:1:43.1,48:57:34
6:5:3.4,42:58:54
6:24:53.9,49:17:17
6:30:3.0,46:41:8
6:38:39.5,39:23:27
6:38:49.2,39:54:9
6:39:19.9,42:29:20
6:43:5.0,44:31:28
6:46:44.3,43:34:39
6:47:39.6,48:47:22
6:50:45.9,41:46:53
6:56:32.3,46:16:27
6:56:56.0,46:42:18
7:11:39.3,39:19:14
7:18:2.2,40:53:0
7:24:8.5,40:40:20
4:49:19.0,32:35:18
4:49:12.8,31:26:14
4:52:38.0,36:42:11
4:56:59.6,33:9:58
4:59:15.4,37:53:25
5:13:25.7,38:29:4
5:15:24.4,32:41:16
5:16:18.2,34:18:43
5:18:10.7,33:22:18
5:19:0.0,33:44:54
5:20:0.9,33:57:29
5:21:12.7,29:34:12
5:24:39.2,37:23:8
5:24:38.5,31:8:35
5:26:48.9,34:23:30
5:27:8.3,30:12:31
5:27:38.9,34:28:33
5:32:43.7,32:11:31
5:38:38.1,30:29:33
5:39:18.4,29:12:55
5:51:2.4,37:18:20
5:52:40.1,33:55:3
5:54:59.0,31:42:6
5:59:43.3,37:12:45
6:1:10.2,31:2:5
6:6:35.1,38:28:58
6:12:20.1,32:41:36
6:15:22.7,29:29:53
6:28:34.1,30:29:35
6:32:27.2,32:27:17
6:35:12.1,28:1:20
6:36:32.9,38:26:43
6:38:23.0,28:59:3
7:22:2.6,36:45:38
14:13:29.0,51:47:25
14:16:9.9,51:22:2
14:25:11.8,51:51:3
14:38:15.2,54:1:24
15:6:16.7,54:33:23
15:20:5.2,51:57:31
15:38:34.3,50:25:24
15:42:50.7,52:21:39
14:7:55.8,43:51:16
14:8:17.3,49:27:29
14:16:23.0,46:5:18
14:28:37.8,49:50:41
14:34:39.6,49:22:6
14:38:12.5,43:38:31
14:38:50.2,44:24:16
14:43:44.4,40:27:33
14:49:18.7,46:6:58
14:49:41.3,48:43:14
